Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,RelevantEducationLevel,JobLevel,JobRole,RecruiterScore,MaritalStatus,JobType,NumCompaniesWorked,OverTime,SalaryExpectation,InterviewScore,ResumeScore,RequestedBenefits,TotalWorkingYears,PreferredSkills,YearsAtCurrentCompany,RelevantExperience,MonthlyIncome,Ethnicity,HIRED
25,Travel_Rarely,Sales,28,3,Life Sciences,Male,2,2,Sales Executive,3,Married,8639,2,No,18,3,4,0,6,3,2,2,full_time,non-minority,YES
30,Travel_Rarely,Human Resources,9,3,Human Resources,Male,3,2,Human Resources,4,Married,6347,0,Yes,19,3,4,0,12,2,11,9,full_time,non-minority,YES
45,Travel_Rarely,Research & Development,29,3,Medical,Male,3,1,Research Scientist,4,Single,3452,5,No,13,3,2,0,9,2,6,5,full_time,minority,YES
30,Travel_Rarely,Research & Development,18,3,Life Sciences,Female,3,1,Research Scientist,3,Single,2632,1,No,14,3,3,0,5,4,5,4,full_time,non-minority,YES
32,Travel_Frequently,Sales,9,2,Medical,Male,1,2,Sales Executive,4,Divorced,4668,0,No,17,3,4,3,9,2,8,7,full_time,non-minority,YES
35,Travel_Rarely,Sales,1,5,Marketing,Male,3,3,Sales Executive,2,Married,7295,1,No,13,3,1,2,10,3,10,8,full_time,non-minority,YES
53,Travel_Rarely,Sales,6,2,Marketing,Male,3,2,Sales Representative,3,Married,2306,2,Yes,20,4,4,1,13,3,7,7,full_time,non-minority,YES
45,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,3,2,Laboratory Technician,2,Divorced,2348,8,No,18,3,3,1,20,2,17,9,full_time,minority,YES
27,Non-Travel,Research & Development,9,3,Medical,Male,3,1,Research Scientist,2,Divorced,2024,6,No,18,3,4,1,6,1,2,2,full_time,non-minority,YES
57,Travel_Rarely,Research & Development,24,2,Life Sciences,Male,4,3,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,2,1,12,2,5,3,full_time,non-minority,YES
50,Travel_Rarely,Research & Development,11,3,Life Sciences,Female,3,5,Manager,2,Single,19926,3,No,15,3,2,0,21,5,5,4,full_time,non-minority,YES
41,Travel_Rarely,Research & Development,14,3,Life Sciences,Male,3,1,Research Scientist,3,Divorced,2451,4,No,12,3,1,1,13,2,9,8,full_time,non-minority,YES
30,Travel_Rarely,Sales,5,3,Life Sciences,Female,3,3,Sales Executive,4,Married,9419,2,No,12,3,3,1,12,2,10,9,full_time,minority,YES
32,Travel_Rarely,Research & Development,6,5,Life Sciences,Male,3,1,Research Scientist,3,Single,3038,3,No,20,4,1,0,8,2,5,4,full_time,non-minority,YES
27,Travel_Rarely,Research & Development,17,3,Technical Degree,Male,3,1,Research Scientist,2,Married,3058,0,Yes,16,3,4,1,6,3,5,2,full_time,non-minority,YES
36,Travel_Frequently,Research & Development,3,2,Medical,Male,3,1,Laboratory Technician,2,Single,2088,4,No,12,3,3,0,13,3,8,7,full_time,minority,YES
40,Travel_Rarely,Research & Development,4,1,Medical,Female,3,5,Manager,3,Married,19033,1,No,14,3,2,1,21,2,20,8,full_time,non-minority,YES
34,Travel_Frequently,Research & Development,2,1,Life Sciences,Male,2,2,Manufacturing Director,3,Married,9547,1,No,17,3,3,0,10,2,10,9,full_time,minority,YES
51,Travel_Rarely,Research & Development,3,3,Medical,Female,3,4,Healthcare Representative,2,Single,13734,3,No,18,3,3,0,21,6,7,7,full_time,minority,YES
27,Travel_Rarely,Research & Development,9,3,Medical,Female,3,1,Research Scientist,2,Single,2279,1,No,16,3,4,0,7,2,7,7,contract,non-minority,YES
35,Travel_Rarely,Research & Development,23,2,Life Sciences,Male,2,2,Manufacturing Director,3,Married,5916,3,Yes,13,3,1,0,8,1,1,0,contract,non-minority,YES
35,Travel_Frequently,Research & Development,2,3,Medical,Female,3,2,Laboratory Technician,2,Single,4425,5,No,11,3,4,0,10,5,6,2,contract,non-minority,YES
42,Non-Travel,Research & Development,21,2,Medical,Female,3,2,Manufacturing Director,3,Divorced,5265,2,No,16,3,2,1,11,5,5,3,full_time,non-minority,YES
38,Travel_Rarely,Research & Development,29,3,Technical Degree,Male,3,2,Manufacturing Director,4,Married,6261,3,No,18,3,1,1,9,3,7,7,full_time,minority,YES
34,Travel_Frequently,Research & Development,10,4,Medical,Male,3,1,Research Scientist,3,Divorced,3815,1,Yes,17,3,4,1,5,4,5,3,contract,non-minority,YES
40,Travel_Rarely,Research & Development,19,2,Medical,Male,3,2,Laboratory Technician,4,Married,2741,8,Yes,15,3,3,1,15,2,7,2,contract,non-minority,YES
29,Travel_Rarely,Sales,27,3,Marketing,Female,3,3,Sales Executive,4,Married,7639,1,No,22,4,4,3,10,3,10,4,contract,minority,YES
22,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,1,Research Scientist,2,Divorced,2328,1,Yes,16,3,1,1,4,2,4,2,full_time,non-minority,YES
32,Travel_Rarely,Sales,4,4,Medical,Male,1,3,Sales Executive,4,Married,10400,1,No,11,3,3,0,14,2,14,8,full_time,non-minority,YES
30,Non-Travel,Research & Development,1,1,Life Sciences,Male,2,3,Manufacturing Director,3,Single,8474,1,No,22,4,3,0,12,2,11,8,full_time,minority,YES
27,Travel_Frequently,Sales,20,3,Life Sciences,Female,3,2,Sales Executive,3,Single,9981,1,No,14,3,4,0,7,2,7,7,full_time,non-minority,YES
51,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,2,3,Research Director,2,Married,12490,5,No,16,3,4,2,16,5,10,9,full_time,non-minority,YES
29,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,3,1,Research Scientist,3,Single,2058,0,No,14,3,4,0,7,1,6,2,full_time,non-minority,YES
45,Non-Travel,Sales,6,3,Medical,Female,2,3,Sales Executive,4,Single,8865,6,No,12,3,4,0,23,2,19,7,full_time,non-minority,YES
36,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,3,2,Laboratory Technician,2,Single,5914,8,No,16,3,4,0,16,3,13,11,contract,non-minority,YES
31,Non-Travel,Research & Development,1,4,Medical,Male,1,2,Manufacturing Director,3,Married,4345,0,No,12,3,4,1,6,2,5,4,full_time,non-minority,YES
29,Travel_Frequently,Sales,1,1,Medical,Female,3,3,Sales Executive,4,Married,7918,1,No,14,3,4,1,11,5,11,10,full_time,non-minority,YES
35,Travel_Frequently,Sales,1,3,Marketing,Female,3,3,Sales Executive,3,Single,8789,1,No,14,3,1,0,10,3,10,7,contract,minority,YES
50,Travel_Rarely,Sales,1,4,Medical,Female,3,5,Manager,4,Divorced,19517,3,No,11,3,3,1,32,3,7,0,full_time,non-minority,YES
33,Travel_Rarely,Research & Development,14,3,Medical,Male,3,1,Laboratory Technician,4,Married,2436,5,Yes,13,3,3,1,8,2,5,4,full_time,non-minority,YES
43,Travel_Rarely,Sales,16,3,Marketing,Female,3,4,Manager,4,Married,16064,5,Yes,22,4,3,1,22,3,17,13,full_time,minority,YES
32,Travel_Rarely,Sales,4,2,Life Sciences,Female,3,1,Sales Representative,2,Married,3931,2,No,11,3,1,1,6,5,4,3,full_time,non-minority,YES
39,Travel_Frequently,Research & Development,2,4,Technical Degree,Female,3,3,Healthcare Representative,3,Single,10938,0,No,25,4,4,0,20,1,19,6,full_time,non-minority,YES
29,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,3,1,Research Scientist,4,Single,2340,1,No,19,3,1,0,6,1,6,5,full_time,non-minority,YES
38,Non-Travel,Sales,2,2,Life Sciences,Male,2,2,Sales Executive,4,Married,5249,3,No,18,3,4,1,13,0,8,7,full_time,non-minority,YES
46,Travel_Rarely,Sales,2,3,Technical Degree,Female,1,4,Manager,2,Married,16872,3,Yes,12,3,2,1,28,2,7,7,full_time,minority,YES
36,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,3,1,Laboratory Technician,4,Married,3210,0,No,11,3,3,1,16,4,15,13,full_time,non-minority,YES
37,Non-Travel,Research & Development,1,4,Medical,Female,3,3,Research Director,4,Divorced,13603,2,Yes,18,3,1,2,15,2,5,2,full_time,non-minority,YES
26,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,3,2,Manufacturing Director,2,Divorced,6397,1,No,20,4,1,1,6,6,6,5,full_time,non-minority,YES
50,Travel_Rarely,Research & Development,4,1,Life Sciences,Male,3,5,Research Director,2,Divorced,19144,3,No,14,3,1,2,28,4,10,4,full_time,non-minority,YES
53,Travel_Rarely,Research & Development,3,4,Medical,Male,3,4,Research Director,3,Married,17584,3,Yes,16,3,4,3,21,5,5,3,full_time,non-minority,YES
42,Travel_Rarely,Sales,1,1,Life Sciences,Male,3,2,Sales Executive,3,Married,4907,1,No,25,4,3,0,20,3,20,16,contract,non-minority,YES
29,Travel_Frequently,Sales,2,2,Life Sciences,Male,3,2,Sales Executive,4,Single,4554,1,No,18,3,1,0,10,3,10,7,full_time,non-minority,YES
55,Travel_Rarely,Research & Development,20,2,Technical Degree,Male,3,2,Laboratory Technician,4,Married,5415,3,Yes,19,3,4,1,12,4,10,7,full_time,minority,YES
36,Travel_Rarely,Research & Development,3,3,Technical Degree,Male,3,2,Research Scientist,2,Single,4485,4,No,12,3,4,0,10,2,8,0,full_time,non-minority,YES
42,Travel_Frequently,Sales,26,3,Marketing,Female,3,4,Sales Executive,2,Married,13525,5,No,14,3,4,1,23,2,20,4,full_time,minority,YES
35,Travel_Rarely,Sales,16,3,Marketing,Male,3,3,Sales Executive,2,Married,8020,0,No,15,3,3,2,12,3,11,9,full_time,minority,YES
51,Travel_Rarely,Research & Development,2,3,Medical,Male,1,2,Manufacturing Director,2,Divorced,5482,5,No,18,3,4,1,13,3,4,1,full_time,non-minority,YES
31,Travel_Rarely,Sales,7,3,Technical Degree,Male,4,2,Sales Executive,4,Married,6929,4,No,11,3,2,1,10,3,8,7,full_time,non-minority,YES
39,Travel_Rarely,Research & Development,1,3,Medical,Male,4,3,Healthcare Representative,4,Divorced,9613,0,No,17,3,1,3,19,5,18,10,full_time,non-minority,YES
36,Non-Travel,Research & Development,24,4,Life Sciences,Female,3,2,Laboratory Technician,2,Married,5674,7,No,15,3,3,1,11,3,9,8,contract,non-minority,YES
32,Travel_Rarely,Sales,7,3,Life Sciences,Male,2,2,Sales Executive,3,Married,5484,1,No,14,3,3,1,13,3,13,8,contract,non-minority,YES
38,Travel_Rarely,Research & Development,25,2,Life Sciences,Female,2,3,Research Director,2,Married,12061,3,No,17,3,3,1,19,2,10,8,contract,minority,YES
33,Travel_Frequently,Research & Development,5,4,Life Sciences,Female,3,3,Manager,2,Married,11878,6,No,11,3,2,2,12,2,10,6,full_time,minority,YES
43,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,3,1,Laboratory Technician,4,Single,2455,0,No,19,3,1,0,9,5,8,7,full_time,non-minority,YES
49,Travel_Rarely,Research & Development,1,2,Technical Degree,Female,2,4,Healthcare Representative,3,Single,13964,7,Yes,12,3,4,0,25,2,7,1,contract,non-minority,YES
52,Travel_Rarely,Research & Development,8,4,Medical,Male,2,2,Research Scientist,2,Married,4941,2,No,15,3,1,0,11,3,8,2,contract,non-minority,YES
31,Travel_Rarely,Sales,7,3,Marketing,Male,3,2,Sales Executive,4,Divorced,7547,4,No,12,3,4,3,13,3,7,7,full_time,non-minority,YES
32,Travel_Rarely,Research & Development,2,4,Medical,Female,4,2,Research Scientist,4,Single,5055,7,No,16,3,3,0,10,0,7,7,contract,non-minority,YES
30,Travel_Rarely,Research & Development,28,2,Medical,Female,3,2,Research Scientist,4,Married,5775,1,No,13,3,4,2,11,2,10,8,full_time,non-minority,YES
31,Travel_Frequently,Research & Development,7,2,Life Sciences,Female,2,3,Manufacturing Director,3,Married,8943,1,No,24,4,1,1,10,2,10,9,full_time,non-minority,YES
39,Travel_Frequently,Research & Development,7,2,Medical,Male,2,5,Manager,4,Married,19272,1,No,15,3,1,1,21,2,21,9,full_time,non-minority,YES
27,Non-Travel,Sales,1,1,Marketing,Male,3,2,Sales Executive,2,Married,6349,0,Yes,13,3,4,1,6,0,5,4,full_time,non-minority,YES
45,Travel_Rarely,Research & Development,8,4,Other,Male,3,2,Research Scientist,4,Married,3697,9,No,14,3,1,2,12,3,10,9,full_time,minority,YES
37,Travel_Rarely,Research & Development,5,2,Medical,Male,3,2,Manufacturing Director,4,Divorced,6347,7,No,16,3,3,2,8,2,6,2,full_time,non-minority,YES
38,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,2,3,Research Director,4,Divorced,11510,0,Yes,14,3,2,1,12,3,11,10,full_time,minority,YES
31,Travel_Rarely,Research & Development,7,4,Medical,Female,3,3,Manufacturing Director,4,Single,7143,1,Yes,14,3,3,0,11,2,11,9,contract,minority,YES
29,Travel_Rarely,Sales,10,1,Marketing,Female,2,2,Sales Executive,2,Divorced,8268,1,Yes,14,3,1,2,7,2,7,7,full_time,non-minority,YES
35,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,3,3,Manufacturing Director,2,Single,8095,0,No,13,3,4,0,17,5,16,6,contract,non-minority,YES
29,Non-Travel,Sales,2,3,Life Sciences,Male,3,2,Sales Executive,3,Married,4649,1,No,14,3,1,1,4,3,4,3,full_time,non-minority,YES
32,Travel_Rarely,Research & Development,2,3,Medical,Female,3,1,Laboratory Technician,2,Married,2370,1,No,13,3,3,1,8,4,8,0,full_time,non-minority,YES
26,Travel_Rarely,Sales,1,3,Life Sciences,Male,3,2,Sales Executive,3,Married,5296,1,No,17,3,2,1,8,3,8,7,full_time,non-minority,YES
36,Travel_Frequently,Sales,3,4,Medical,Male,2,3,Sales Executive,4,Married,9699,4,No,11,3,1,1,16,2,13,9,contract,minority,YES
40,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,1,Laboratory Technician,3,Married,2213,3,Yes,13,3,3,1,10,3,7,7,full_time,minority,YES
33,Travel_Rarely,Sales,5,3,Marketing,Female,3,1,Sales Representative,3,Single,2851,1,Yes,13,3,2,0,1,2,1,0,full_time,non-minority,YES
41,Travel_Frequently,Sales,4,3,Marketing,Male,3,2,Sales Executive,2,Single,9355,1,No,18,3,3,0,8,5,8,7,contract,non-minority,YES
40,Travel_Rarely,Sales,22,2,Marketing,Male,2,2,Sales Executive,3,Married,6380,2,Yes,12,3,1,2,8,6,6,4,contract,minority,YES
27,Travel_Rarely,Research & Development,1,2,Medical,Male,3,1,Laboratory Technician,2,Divorced,3816,1,No,11,3,2,1,5,2,5,2,contract,non-minority,YES
49,Travel_Rarely,Research & Development,7,3,Other,Male,2,3,Healthcare Representative,3,Single,10965,8,No,24,4,3,0,26,2,5,2,full_time,non-minority,YES
51,Travel_Rarely,Sales,14,2,Life Sciences,Female,3,2,Sales Executive,4,Married,4936,4,No,11,3,3,1,18,2,7,7,full_time,non-minority,YES
55,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,3,4,Manager,4,Single,16659,2,Yes,13,3,3,0,30,2,5,4,contract,non-minority,YES
22,Travel_Rarely,Research & Development,11,3,Medical,Female,3,1,Research Scientist,2,Married,2244,1,No,13,3,4,1,2,1,2,1,full_time,non-minority,YES
36,Travel_Rarely,Sales,2,2,Medical,Male,2,3,Sales Executive,3,Married,7596,1,No,13,3,2,2,10,2,10,9,full_time,non-minority,YES
40,Travel_Rarely,Sales,2,2,Marketing,Female,3,2,Sales Executive,2,Divorced,5715,7,No,12,3,3,2,8,5,5,4,full_time,non-minority,YES
37,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,3,2,Manufacturing Director,2,Single,4197,2,Yes,12,3,4,0,18,2,1,0,full_time,non-minority,YES
31,Travel_Rarely,Research & Development,7,2,Medical,Female,3,2,Manufacturing Director,1,Married,4306,1,No,12,3,2,1,13,5,13,10,full_time,minority,YES
25,Travel_Rarely,Sales,4,2,Life Sciences,Female,2,2,Sales Executive,4,Single,4487,1,Yes,11,3,2,0,5,3,5,4,contract,non-minority,YES
37,Non-Travel,Research & Development,25,5,Medical,Female,3,2,Research Scientist,3,Married,4449,3,Yes,15,3,1,2,15,2,13,11,contract,non-minority,YES
52,Travel_Rarely,Research & Development,3,3,Medical,Male,2,3,Manufacturing Director,3,Married,7969,2,Yes,14,3,3,0,28,4,5,4,full_time,non-minority,YES
52,Travel_Rarely,Research & Development,4,2,Life Sciences,Female,3,4,Manager,4,Married,16555,2,No,13,3,4,0,31,2,5,2,full_time,non-minority,YES
42,Travel_Frequently,Research & Development,29,2,Life Sciences,Female,3,2,Research Scientist,3,Divorced,4556,2,No,11,3,2,1,19,3,5,4,full_time,non-minority,YES
46,Travel_Rarely,Research & Development,18,3,Medical,Female,3,2,Manufacturing Director,3,Divorced,4810,2,No,14,3,3,1,19,5,10,7,full_time,non-minority,YES
24,Travel_Rarely,Sales,1,1,Technical Degree,Female,3,1,Sales Representative,2,Single,3202,1,Yes,16,3,2,0,6,4,5,3,full_time,non-minority,YES
40,Travel_Rarely,Sales,2,4,Life Sciences,Female,3,5,Manager,3,Married,18041,0,No,14,3,4,0,21,2,20,15,contract,non-minority,YES
30,Non-Travel,Research & Development,3,3,Life Sciences,Male,3,1,Laboratory Technician,4,Married,2097,4,No,15,3,3,1,9,3,5,3,full_time,non-minority,YES
29,Travel_Rarely,Research & Development,3,4,Medical,Male,2,3,Research Director,3,Married,11935,1,No,18,3,3,0,10,2,10,2,contract,non-minority,YES
30,Non-Travel,Research & Development,2,3,Medical,Female,3,1,Laboratory Technician,4,Single,2564,0,No,14,3,3,0,12,2,11,7,contract,non-minority,YES
47,Travel_Rarely,Research & Development,2,2,Medical,Female,3,2,Manufacturing Director,4,Divorced,5070,5,No,13,3,3,3,20,2,5,0,full_time,non-minority,YES
35,Travel_Rarely,Research & Development,22,3,Life Sciences,Male,1,1,Laboratory Technician,3,Single,4230,0,No,15,3,3,0,6,2,5,4,full_time,non-minority,YES
31,Travel_Rarely,Research & Development,9,1,Life Sciences,Male,3,3,Manufacturing Director,2,Divorced,10648,1,No,25,4,4,1,13,6,13,8,full_time,minority,YES
34,Travel_Frequently,Human Resources,23,3,Human Resources,Female,3,3,Human Resources,1,Divorced,9950,9,Yes,15,3,3,3,11,2,3,2,contract,non-minority,YES
41,Non-Travel,Sales,10,2,Life Sciences,Male,3,2,Sales Executive,4,Single,6230,7,No,14,3,4,0,16,3,14,3,full_time,non-minority,YES
35,Travel_Rarely,Sales,1,3,Marketing,Male,3,2,Sales Executive,3,Married,4717,9,No,11,3,3,0,15,2,11,9,contract,non-minority,YES
39,Travel_Frequently,Research & Development,8,1,Life Sciences,Female,3,1,Laboratory Technician,3,Married,3755,1,No,11,3,1,1,8,3,8,3,full_time,non-minority,YES
26,Travel_Frequently,Human Resources,17,4,Life Sciences,Female,3,1,Human Resources,3,Divorced,2741,0,Yes,11,3,2,1,8,2,7,7,full_time,non-minority,YES
41,Non-Travel,Research & Development,2,4,Other,Female,2,2,Healthcare Representative,3,Single,6811,2,Yes,17,3,1,0,10,3,8,7,full_time,non-minority,YES
35,Travel_Rarely,Sales,1,3,Medical,Female,3,2,Sales Executive,3,Single,4859,1,No,16,3,4,0,5,3,5,4,full_time,non-minority,YES
34,Travel_Rarely,Sales,21,4,Life Sciences,Male,4,2,Sales Executive,4,Single,5337,1,No,12,3,4,0,10,3,10,7,full_time,non-minority,YES
37,Travel_Rarely,Research & Development,1,3,Technical Degree,Female,3,3,Manufacturing Director,4,Single,7491,4,No,17,3,4,0,12,3,6,5,full_time,non-minority,YES
52,Travel_Rarely,Research & Development,6,2,Technical Degree,Male,3,2,Research Scientist,1,Divorced,5577,3,Yes,12,3,2,2,18,3,10,9,contract,minority,YES
24,Travel_Rarely,Research & Development,23,3,Medical,Male,4,1,Research Scientist,4,Married,2725,1,Yes,11,3,2,2,6,3,6,5,full_time,non-minority,YES
26,Travel_Rarely,Sales,28,2,Marketing,Male,3,2,Sales Executive,2,Married,6272,1,No,20,4,4,2,6,5,5,3,contract,non-minority,YES
25,Travel_Rarely,Sales,13,1,Medical,Male,3,1,Sales Representative,3,Married,2096,1,No,11,3,3,0,7,1,7,4,full_time,minority,YES
24,Travel_Frequently,Research & Development,7,3,Life Sciences,Female,3,1,Laboratory Technician,3,Married,2886,1,Yes,16,3,4,1,6,4,6,3,contract,non-minority,YES
30,Travel_Frequently,Sales,12,4,Life Sciences,Male,2,1,Sales Representative,1,Married,2033,1,No,18,3,3,1,1,2,1,0,full_time,non-minority,YES
34,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,2,1,Research Scientist,4,Married,3622,1,Yes,13,3,4,1,6,3,6,5,full_time,minority,YES
20,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,1,Research Scientist,2,Single,2836,1,No,13,3,4,0,1,0,1,0,full_time,non-minority,YES
42,Travel_Rarely,Research & Development,2,4,Life Sciences,Female,3,2,Healthcare Representative,4,Married,4089,1,No,13,3,2,2,10,4,10,2,full_time,non-minority,YES
43,Travel_Frequently,Research & Development,9,5,Medical,Male,3,2,Laboratory Technician,3,Divorced,5679,3,Yes,13,3,2,1,10,3,8,7,full_time,non-minority,YES
